# Danh sach phieu muon sach
# Format: MaPhieu;EmailDocGia;MaSach;TenSach;TinhTrang;NgayMuon;HanTra;NgayTra;DaTra
# DaTra: 0 = Chua tra, 1 = Da tra
#============================================
PM001;sv01@gmail.com;B001;Lap trinh C++;Dang muon;2026-01-05;2026-01-20;;0
PM002;sv02@gmail.com;B002;Cong nghe phan mem;Da tra;2026-01-01;2026-01-15;2026-01-10;1
PM003;sv03@gmail.com;B003;Cau truc du lieu va giai thuat;Dang muon;2026-01-08;2026-01-22;;0
PM004;sv04@gmail.com;B004;He dieu hanh;Qua han;2025-12-20;2026-01-05;;0
PM005;sv05@gmail.com;B005;Mang may tinh;Da tra;2025-12-18;2026-01-02;2025-12-30;1
PM006;sv06@gmail.com;B006;Co so du lieu;Dang muon;2026-01-10;2026-01-25;;0
PM007;sv07@gmail.com;B007;Tri tue nhan tao;Dang muon;2026-01-12;2026-01-27;;0
PM008;sv08@gmail.com;B008;Lap trinh Java;Da tra;2026-01-03;2026-01-18;2026-01-15;1
PM009;sv09@gmail.com;B009;Python co ban;Qua han;2025-12-22;2026-01-06;;0
PM010;sv10@gmail.com;B010;Machine Learning;Dang muon;2026-01-11;2026-01-26;;0
